job_title,mod_ind_index
"Senior Fullstack (25-45M, PHP/ Java /Golang/Nodejs....)",25
"Chuyên Viên Giá Cước/ Pricing Tại HCM (10-15 Triệu + Thưởng) - Nghỉ T7, Chủ Nhật",25
Photo Assistant,25
Content Manager,25
Thực Tập Sinh Xnk,25
Automation Tester,25
Nhân Viên Chứng Từ Docs,25
Thực Tập Sinh SEO Quận 7,25
Nhân Viên Xử Lý Dữ Liệu Tiếng Nhật,25
Chuyên Viên Chứng Từ,25
Automation Tester - Từ 3 - 5 Năm Kinh Nghiệm,25
Nhân Viên Tester,25
Nhân Viên Khai Báo Hải Quan,25
Nhân Viên Kỹ Thuật (Software Support),25
Leader Asp .Net Upto 1500Usd,25
Nhân Viên Khai Báo Hải Quan ( Đi Làm Ngay ),25
Tester,25
Nhân Viên Chứng Từ Hải Quan,25
Nhân Viên Chứng Từ,25
Giám Sát Phân Loại Hàng Hóa,25
Kỹ Sư Cầu Nối (Brse) Tại Đà Nẵng,25
Nhân Viên Giao Nhận Kiểm Đếm,25
Nhân Viên Chứng Từ Implant,25
Nhân Viên Kỹ Thuật Ép Kính,25
Computer Vision Engineering,25
Nhân Viên Admin,25
Chuyên Viên Thẩm Định Giá,25
Operation Staff,25
Supply Chain Manager,25
Data Analyst Leader,25
Trưởng Phòng Thu Mua,25
"Nhân Viên Kỹ Thuật Máy Tính, Máy In, Camera",25
Nhân Viên Pháp Chế,25
Technical Leader Frontend,25
Thực Tập Sinh PHP,25
Nhân Viên Chứng Từ Khai Quan - Quy Nhơn,25
Brse ( Tiếng Nhật ),25
Database Administrator (Dba),25
Thực Tập Sinh UI/UX Design,25
Nhân Viên Bộ Phận Hàng Nhập,25
Nhân Viên Khai Báo Hải Quan (Hải Dương),25
Nhân Viên SEO,25
Thực Tập Sinh React Native,25
Nhân Viên Thu Cước,25
"Supply Chain, Planner (Fresh Graduate) Fulltime",25
Nhân Viên Vận Hành Máy (Ép Vỉ),25
Data Engineer Từ 1.5 Năm Kinh Nghiệm (Phạm Hùng - Hà Nội),25
Data Engineer,25
Supply Chain Solution Manager,25
Team Leader Chứng Từ,25
Chuyên Viên Quản Trị Máy Chủ (Server Staff) - Hà Nội,25
Nhân Viên Chứng Từ,25
Thực Tập Backend,25
Fresher .Net,25
Research & Development Executive,25
Nhân Viên Thu Mua - Thời Vụ 07 Tháng.,25
Business Analyst (Thu Nhập Từ 12 - 16 Triệu/Tháng),25
Nhân Viên Thu Hồi Công Nợ,25
Regional Manager,25
Chuyên Viên Quản Trị Hạ Tầng Và Bảo Mật,25
Planning Manager,25
Designer UI UX,25
Nhân Viên Pricing (Nhân Viên Phòng Giá),25
Nhân Viên Điều Phối Bưu Cục - HCM,25
Nhân Viên Điều Phối Bưu Cục - HCM,25
Nhân Viên Khai Báo Hải Quan,25
Systems Administration Manager,25
Chuyên Viên R&D,25
Trưởng Nhóm Chứng Từ,25
Nhân Viên Kỹ Thuật,25
